City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
197,Carnarvon,AU,67.01,clear sky,-24.8667,113.6333,Hospitality Carnarvon
198,Ixtapa,MX,84.22,broken clouds,20.7,-105.2,hotel la terminal
200,Havre-Saint-Pierre,CA,54.16,broken clouds,50.2334,-63.5986,Auberge Niapiskau
201,Beyneu,KZ,75.52,overcast clouds,45.3167,55.2,NUR
202,Vila Velha,BR,71.55,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
203,Chuy,UY,45.79,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
204,Havelock,US,80.58,scattered clouds,34.8791,-76.9013,Sherwood Motel
205,Ahar,IR,59.83,clear sky,38.4774,47.0699,هتل رضوی
206,Saldanha,ZA,59.47,light rain,-33.0117,17.9442,Blue Bay Lodge
207,Vila Franca Do Campo,PT,62.2,clear sky,37.7167,-25.4333,Pestana Bahia Praia
208,Kalabo,ZM,51.13,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
209,Atasu,KZ,68.79,overcast clouds,48.6814,71.6433,Dostyk
211,Fortuna,US,59.67,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
212,Severo-Kurilsk,RU,45.34,broken clouds,50.6789,156.125,Kak Doma
213,Kholmogory,RU,55.89,overcast clouds,64.2229,41.656,Гостевая комната
214,Puerto Escondido,MX,80.51,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
215,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
216,Harper,LR,77.54,overcast clouds,4.375,-7.7169,Screensaver
217,Birin,NP,68.61,moderate rain,26.8865,88.0718,Sangam hotel and lodge
218,Portland,US,60.03,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
219,Lebu,CL,47.84,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
220,Fort Nelson,CA,66.6,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
221,Tecoanapa,MX,79.25,broken clouds,16.5167,-98.75,Hotel Manglares
222,Sorland,NO,49.86,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
223,Tual,ID,83.01,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
224,Malakal,SS,81.61,overcast clouds,9.5334,31.6605,Nile Palace Hotel
225,Roma,US,65.73,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
226,Rawson,AR,56.39,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
227,Hovd,MN,78.21,clear sky,48.0056,91.6419,Hotel Khovd
228,Husavik,IS,42.87,overcast clouds,66.0449,-17.3389,Bjarnabúð
229,Concordia,AR,42.78,clear sky,-31.393,-58.0209,Palmar Hotel Casino
232,Saint Anthony,US,75.09,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
233,Ofunato,JP,62.73,broken clouds,39.0717,141.7167,Ofunato Hot Spring
234,Ribeira Brava,PT,68.72,few clouds,32.65,-17.0667,Hotel do Campo
235,Fort Frances,CA,61.02,few clouds,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
236,Necochea,AR,48.31,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
238,Port Hawkesbury,CA,63.03,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
239,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
240,Nyuksenitsa,RU,50.49,broken clouds,60.4128,44.2397,Sukhona Hotel
241,Matale,LK,77.31,broken clouds,7.4721,80.6234,Anil's Inn
242,Pevek,RU,40.03,overcast clouds,69.7008,170.3133,Severnoye Zoloto
243,Gornopravdinsk,RU,50.58,overcast clouds,60.05,69.9,Hostel
244,Sao Filipe,CV,72.79,scattered clouds,14.8961,-24.4956,Hotel Xaguate
245,Durban,ZA,61.02,scattered clouds,-29.8579,31.0292,Hilton Durban
246,Shetpe,KZ,72.68,overcast clouds,44.1667,52.1167,Rtsm Shetpe Analog
247,Qaqortoq,GL,38.75,overcast clouds,60.7167,-46.0333,Siniffik Inn
248,Guerrero Negro,MX,67.1,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
249,Kerema,PG,83.71,overcast clouds,-7.9631,145.7785,Frena Lodge
250,Chaumont,FR,50.49,clear sky,48.1167,5.1333,Hôtel Restaurant Des Remparts
251,Muros,ES,67.15,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
252,Port Elizabeth,ZA,67.32,overcast clouds,-33.918,25.5701,39 On Nile Guest House
253,Camopi,GF,70.9,clear sky,3.1655,-52.3158,La pousada
254,Oussouye,SN,78.13,overcast clouds,12.485,-16.5469,Auberge du Routard
255,Bonavista,CA,42.39,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
256,Garowe,SO,78.26,overcast clouds,8.4054,48.4845,Curubo Hotel
257,Yuxia,CN,87.1,few clouds,34.0615,108.6291,Shanchengxuan Hotel
258,Road Town,VG,82.49,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
261,Yangliuqing,CN,69.75,broken clouds,39.1375,116.9997,如庭快捷酒店
263,College,US,70.0,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
264,Sabha,LY,75.78,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
265,Sula,PH,88.84,light rain,15.4573,120.3955,River Stone Hotel
266,Bonaventure,CA,53.42,light rain,48.0457,-65.4926,Riôtel Bonaventure (N° établissement : 1271)
267,Pisco,PE,60.85,mist,-13.7,-76.2167,Hotel San Isidro Oficial
268,Salmon Arm,CA,71.31,broken clouds,50.6998,-119.3024,Podollan Inn Salmon Arm
269,Hervey Bay,AU,67.01,few clouds,-25.2986,152.8535,Shelly Bay Resort
270,Pakpattan,PK,93.85,scattered clouds,30.341,73.3866,FARAN HOTEL
271,Ercis,TR,56.43,broken clouds,39.0287,43.3586,Erciş Elit Otel
272,Ratnagiri,IN,80.33,scattered clouds,16.9833,73.3,Hotel Landmark
273,Flinders,AU,61.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
275,Bassar,TG,71.28,overcast clouds,9.25,0.7833,Hôtel KYRIAD
276,Bosaso,SO,90.86,overcast clouds,11.2842,49.1816,Red Sea Hotel
277,Lac-Megantic,CA,58.68,overcast clouds,45.5834,-70.8823,Motel Le Quiet
278,Saurimo,AO,56.95,clear sky,-9.6608,20.3916,Hotel Kawissa Saurimo
279,Simao,CN,71.82,overcast clouds,22.7886,100.9748,Changyu Hotel
280,Constitucion,CL,48.81,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
281,Westport,US,69.84,broken clouds,41.1415,-73.3579,The Westport Inn
282,Chivay,PE,41.09,clear sky,-15.6383,-71.6011,Casa Andina Standard Colca
283,Goderich,CA,57.9,clear sky,43.7501,-81.7165,Harmony Inn
284,Praia,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
285,Sampit,ID,79.2,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
286,Nara,JP,77.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
287,Carutapera,BR,75.51,clear sky,-1.195,-46.02,Lidera
288,Haaksbergen,NL,54.91,light rain,52.1567,6.7389,Benboverijssel familiehuis tot 4 personen
289,Margate,GB,56.88,few clouds,51.3813,1.3862,Premier Inn Margate hotel
290,Sechura,PE,64.44,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
291,Suchedniow,PL,60.03,clear sky,51.0478,20.8292,Hotel Paradiso
292,Laguna,US,81.61,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
293,Curitibanos,BR,31.59,clear sky,-27.2828,-50.5844,Tortato Palace Hotel
294,Lagoa,PT,62.13,light rain,39.05,-27.9833,Casa Das Faias
295,Agua Dulce,MX,80.85,overcast clouds,18.1333,-94.1333,Hotel Victoria
297,Kuusamo,FI,53.64,clear sky,65.9667,29.1833,Hotel Kuusanka
298,Treinta Y Tres,UY,41.97,clear sky,-33.2333,-54.3833,Jardines Apart-Hotel
299,Payo,ID,77.9,overcast clouds,-3.7508,103.6372,Mess keban agung
300,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
302,Nago,JP,83.25,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
303,Surt,LY,72.14,few clouds,31.2089,16.5887,الهادي ابوشعاله سرت
