City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Cairns,AU,-16.9167,145.7667,81.07,53,21,13.8,few clouds
182,Port Lincoln,AU,-34.7333,135.8667,56.89,65,65,12.86,broken clouds
183,Wagga Wagga,AU,-35.1167,147.3667,52.61,70,36,2.26,scattered clouds
184,Nome,US,64.5011,-165.4064,50.16,50,100,5.75,light rain
185,Igrim,RU,63.1906,64.4162,49.12,66,100,11.14,overcast clouds
186,Iralaya,HN,15.0,-83.2333,78.13,85,100,13.42,overcast clouds
187,Komsomolskiy,UZ,40.4272,71.7189,72.32,53,100,4.61,moderate rain
188,Kalmunai,LK,7.4167,81.8167,82.29,72,78,3.29,broken clouds
189,Asau,RO,46.4333,26.4,63.52,93,16,4.99,few clouds
190,Sitka,US,57.0531,-135.33,51.69,82,100,4.61,overcast clouds
191,Ucluelet,CA,48.9329,-125.5528,57.09,83,30,3.0,scattered clouds
192,Registro,BR,-24.4875,-47.8436,47.52,88,0,1.21,clear sky
193,Kapaa,US,22.0752,-159.319,84.18,77,40,16.11,scattered clouds
194,Cherskiy,RU,68.75,161.3,69.28,30,12,5.59,few clouds
195,Klaksvik,FO,62.2266,-6.589,47.32,93,98,13.87,overcast clouds
196,Nabire,ID,-3.3667,135.4833,83.44,73,76,4.76,broken clouds
197,Carnarvon,AU,-24.8667,113.6333,67.01,61,6,14.88,clear sky
198,Ixtapa,MX,20.7,-105.2,84.22,79,75,14.97,broken clouds
199,Farah,AF,32.5,62.5,78.55,28,0,3.58,clear sky
200,Havre-Saint-Pierre,CA,50.2334,-63.5986,54.16,69,66,2.42,broken clouds
201,Beyneu,KZ,45.3167,55.2,75.52,39,100,5.48,overcast clouds
202,Vila Velha,BR,-20.3297,-40.2925,71.55,92,100,10.0,overcast clouds
203,Chuy,UY,-33.6971,-53.4616,45.79,93,3,5.84,clear sky
204,Havelock,US,34.8791,-76.9013,80.58,94,45,1.99,scattered clouds
205,Ahar,IR,38.4774,47.0699,59.83,81,0,3.56,clear sky
206,Saldanha,ZA,-33.0117,17.9442,59.47,91,100,15.77,light rain
207,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,89,10,5.64,clear sky
208,Kalabo,ZM,-14.97,22.6814,51.13,59,2,5.41,clear sky
209,Atasu,KZ,48.6814,71.6433,68.79,45,95,12.26,overcast clouds
210,Beringovskiy,RU,63.05,179.3167,43.59,61,20,5.53,few clouds
211,Fortuna,US,40.5982,-124.1573,59.67,78,90,5.99,overcast clouds
212,Severo-Kurilsk,RU,50.6789,156.125,45.34,84,51,9.75,broken clouds
213,Kholmogory,RU,64.2229,41.656,55.89,62,100,6.22,overcast clouds
214,Puerto Escondido,MX,15.85,-97.0667,80.51,80,100,3.56,overcast clouds
215,Georgetown,MY,5.4112,100.3354,85.95,74,20,1.14,few clouds
216,Harper,LR,4.375,-7.7169,77.54,80,100,9.01,overcast clouds
217,Birin,NP,26.8865,88.0718,68.61,82,21,3.6,moderate rain
218,Portland,US,45.5234,-122.6762,60.03,71,100,5.99,overcast clouds
219,Lebu,CL,-37.6167,-73.65,47.84,91,100,10.25,overcast clouds
220,Fort Nelson,CA,58.8053,-122.7002,66.6,29,59,3.91,broken clouds
221,Tecoanapa,MX,16.5167,-98.75,79.25,85,71,5.28,broken clouds
222,Sorland,NO,67.667,12.6934,49.86,94,99,15.93,overcast clouds
223,Tual,ID,-5.6667,132.75,83.01,72,100,10.11,overcast clouds
224,Malakal,SS,9.5334,31.6605,81.61,54,99,3.51,overcast clouds
225,Roma,US,43.2128,-75.4557,65.73,95,75,4.61,broken clouds
226,Rawson,AR,-43.3002,-65.1023,56.39,28,100,11.43,overcast clouds
227,Hovd,MN,48.0056,91.6419,78.21,26,6,1.68,clear sky
228,Husavik,IS,66.0449,-17.3389,42.87,93,100,5.95,overcast clouds
229,Concordia,AR,-31.393,-58.0209,42.78,98,0,3.83,clear sky
230,Adrar,MR,20.5022,-10.0711,87.89,29,13,11.32,few clouds
